"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","804","has title","","2026-09-07","passed","2026-09-07","","tests\example.spec.ts","",""
"","1229","displays the complete six-item catalog","","2026-09-07","passed","2026-09-07","Inventory and Product Details","tests\inventory.spec.ts","",""
"","1113","authenticates error_user","","2026-09-07","passed","2026-09-07","Authentication","tests\authentication.spec.ts","",""
"","2618","completes checkout using JSON test data","","2026-09-07","passed","2026-09-07","SauceDemo complete checkout","tests\e2e.spec.ts","",""
"","1112","get started link","","2026-09-07","passed","2026-09-07","","tests\example.spec.ts","",""
"","1404","blocks checkout when required data is absent","","2026-09-07","passed","2026-09-07","Checkout","tests\checkout.spec.ts","",""
"","4036","adds, removes, preserves, and resets cart state","","2026-09-07","passed","2026-09-07","Cart","tests\cart.spec.ts","",""
"","2602","completes checkout with valid customer information","","2026-09-07","passed","2026-09-07","Checkout","tests\checkout.spec.ts","",""
"","1153","authenticates visual_user","","2026-09-07","passed","2026-09-07","Authentication","tests\authentication.spec.ts","",""
"","1201","sorts inventory by name and price","","2026-09-07","passed","2026-09-07","Inventory and Product Details","tests\inventory.spec.ts","",""
"","1197","authenticates problem_user","","2026-09-07","passed","2026-09-07","Authentication","tests\authentication.spec.ts","",""
"","3383","uses All Items, logs out, and protects direct inventory access","","2026-09-07","passed","2026-09-07","Navigation and Session","tests\navigation.spec.ts","",""
"","2195","rejects blank, invalid, and locked-out login attempts","","2026-09-07","passed","2026-09-07","Authentication","tests\authentication.spec.ts","",""
"","1169","opens product detail and returns to inventory","","2026-09-07","passed","2026-09-07","Inventory and Product Details","tests\inventory.spec.ts","",""
"","1037","seed","","2026-09-07","passed","2026-09-07","","tests\seed.spec.ts","",""
"","6089","authenticates performance_glitch_user","","2026-09-07","passed","2026-09-07","Authentication","tests\authentication.spec.ts","",""
